OBJECTID,ZCTA5CE10,GEOID10,ALAND10,AWATER10,County,GlobalID,Shape_STArea__,Shape_STLength__,ID,GEOID10_1,Total_Population,Population_Under_18,Population_Under_5,PopPerSqMile
1,48371,2648371,110655621,4157391,Oakland,17bb11b6-3ed7-4360-ad7e-9f60008621f1,1235618093.98934,207362.924188193,78,48371,23061,5958,1338,539.76267153229
2,48380,2648380,65730039,4189694,Oakland,dfafdbfc-aa22-4455-9f9a-669cbe577031,752500748.691392,187144.651044013,82,48380,7171,1641,297,282.562173926899
3,48081,2648081,10178038,3460922,Macomb,4553d9a2-6505-4313-b858-7ca4f9920f1d,146789896.888213,51296.7064128202,342,48081,20773,3998,774,5286.07528092191
4,48315,2648315,33063561,425300,Macomb,0a5cf34c-8741-4b71-a40d-e36aae653ebe,360411851.782608,88027.2604060708,48,48315,26982,5558,1085,2113.59952483603
5,48317,2648317,31361812,1328385,Macomb,fbd7d590-f347-4b44-ae8f-927e023c34ba,351817680.090728,87300.4468129206,50,48317,26601,5854,1547,2196.82269615149
6,48088,2648088,11490620,0,Macomb,db452d68-fb5e-43db-92d7-0b6fd6a9660a,123667671.775366,51115.1436246168,347,48088,22766,4847,1223,5131.46604614085
7,48048,2648048,49265723,402169,Macomb,cd1cd4f9-b6f9-410c-b05b-786ec81fe552,534531005.660784,117290.083686289,319,48048,8008,2161,480,420.995442577643
8,48236,2648236,19463663,3357791,Wayne,cde3e9af-fe1f-4bfa-89cd-94d6acf1dd94,245620957.822372,86856.4997329503,31,48236,30539,7651,1627,4063.76350856887
9,48383,2648383,38623150,2452196,Oakland,12cf8a21-5ebb-46eb-b399-5612f7196a77,442059867.882568,121077.707954,85,48383,12956,3036,670,868.803254772726
10,48335,2648335,19519357,9310,Oakland,d5454f5b-6ae5-438d-b0e2-89f50cb31cb1,210177688.38392,82026.1081373899,61,48335,22765,4547,1167,3020.64952183057
11,48320,2648320,2832858,794949,Oakland,1cb6bfb7-562b-4d84-9205-5320a47aed0a,39043282.9622227,41567.7872641975,51,48320,4391,937,276,4014.54954600532
12,48165,2648165,24100791,601254,Oakland,66f4c169-ed4a-46ef-8a99-0ca8c57bcf97,265856413.144443,102348.411103733,399,48165,6224,1499,369,668.861930637607
13,48363,2648363,52310794,851170,Oakland,52f14064-1170-4428-9353-2c020b9b15d9,572131540.274183,113905.093024149,75,48363,5333,1196,253,264.045312688249
14,48073,2648073,19104791,0,Oakland,63e88086-772a-4e7d-a04f-afef52dbdd41,205613904.199362,79139.4454606836,336,48073,33017,5544,1756,4476.03536676167
15,48083,2648083,22379873,0,Oakland,e9cca7b3-0da2-43fc-8ea3-090d7648a86d,240859897.474899,66265.5537855073,344,48083,23671,5268,1463,2739.41089331442
16,48213,2648213,16923386,0,Wayne,99a01366-4b33-45ff-a56b-3b943a330405,182142527.228739,78917.9696212648,11,48213,26745,7211,1947,4093.11109743857
17,48216,2648216,5747286,0,Wayne,60bf334e-5370-4255-a22a-7fea287a0506,61857716.6046185,47805.7357555595,14,48216,5169,1065,290,2329.38842743631
18,48221,2648221,14119737,2042,Wayne,824aaf88-1a14-4e60-8cb1-052cef230185,151987750.366139,56073.8936891594,19,48221,39766,8818,2042,7294.29782314608
19,48215,2648215,10395926,0,Wayne,7d60640b-268a-4852-98a2-fca73d03ceda,111890120.223714,49809.3052202122,13,48215,12606,3376,967,3140.59774124409
20,48227,2648227,19504196,0,Wayne,6d9b1259-7944-461f-a0d8-a6453c4bb756,209919144.666422,67699.6889931119,24,48227,43639,11588,2997,5794.88641935601
21,48128,2648128,6123655,134025,Wayne,9e456709-6d6a-4620-9c9c-2818f864a31f,67351262.2364463,56021.8253804226,374,48128,10874,2903,757,4599.14184676774
22,48195,2648195,17672628,12035,Wayne,69ac23cc-5368-457e-98cf-d73abeb8b99f,190348454.001455,57478.8494562434,424,48195,29710,5347,1356,4354.11310764096
23,48192,2648192,13720595,377603,Wayne,cc372c22-7774-4561-abe2-46e6098806da,151745370.589822,67308.190393757,422,48192,25470,5085,1247,4807.88632027856
24,48230,2648230,8360759,3001154,Wayne,d3a3a3db-f0d4-465d-9b7b-9caba6818f17,122286761.038076,50549.363191409,27,48230,16762,4313,906,5192.52172160696
25,48187,2648187,46813620,32123,Wayne,fb4d9cf0-6740-4eaa-9072-5c5f9a88259b,504199419.391479,95169.0796552253,417,48187,48113,12369,2778,2661.8795670969
26,48225,2648225,6854875,0,Wayne,9ae472b6-50d3-447f-9c73-a9accd7f790f,73776795.3631003,42611.6637975598,22,48225,14698,3654,681,5553.37363319013
27,48218,2648218,6872362,287672,Wayne,1bd9b834-9581-4765-8618-284794e176f3,77064671.3190145,48495.8789201814,16,48218,7761,2083,619,2924.89207873146
28,48178,2648178,131199506,4856212,Oakland,1456054b-67db-48b3-83ac-f44b7e432bcf,1464321140.89498,301540.464731402,409,48178,30288,7663,1813,597.911060714649
29,48062,2648062,102252058,236937,Macomb,0475844c-a289-477c-8171-56095ac620fb,1102988625.6159,173309.750227131,326,48062,9389,2379,471,237.81841046088
30,48036,2648036,21551261,564901,Macomb,0f95a748-5653-460f-b8d4-2c8d583102e5,238021431.383903,160107.470334649,309,48036,21271,4191,1353,2556.30936895922
31,48312,2648312,29136295,196890,Macomb,a8c57f4d-acef-4c64-96c4-90227a6ef0fe,315694215.591627,93351.0680110429,45,48312,32834,6612,1505,2918.68790825119
32,48043,2648043,10615453,340371,Macomb,16df5b8c-592f-4da4-9e6e-99e98863adc6,117910012.928459,61114.3660835173,315,48043,16338,2984,588,3986.19509644599
33,48309,2648309,40034011,41084,Oakland,bcb19660-70fe-4002-90f5-13d386cfcd10,431294759.167012,95157.0806904893,43,48309,29839,6282,1368,1930.42685657485
34,48301,2648301,19082075,563499,Oakland,6b96f82f-b424-469f-a118-656843bee3c3,211432282.252964,77180.206197419,38,48301,14228,3609,775,1931.15195773936
35,48331,2648331,24056347,30025,Oakland,a8ba64d3-c8fd-494c-b79b-d055ddd51b64,259227572.229727,79703.2198992475,59,48331,21616,4636,1030,2327.25430714549
36,48357,2648357,30436623,1531824,Oakland,42bdc1c9-0a5e-4992-a2d0-e00a694cfac1,344050687.806501,111017.497592962,71,48357,8832,2196,519,751.555030478531
37,48356,2648356,36733900,3600344,Oakland,d992b751-29c5-49f6-ac8b-df43f37079c1,434084721.042791,92361.9113861365,70,48356,8319,1865,330,586.546267618655
38,48360,2648360,30939560,2059458,Oakland,63331cbf-7298-4781-b27d-88267271d21c,355137565.465505,105966.83573802,73,48360,11713,3384,573,980.51039164922
39,48328,2648328,23415085,6661279,Oakland,7b374e22-edf5-48df-9476-d0bf3cfb2422,323686929.532056,120841.476342788,57,48328,24698,5357,1738,2731.8964782965
40,48205,2648205,16531627,0,Wayne,705fe395-dab0-4d68-909b-ce2f4d211fa9,177924795.006312,68397.233078354,3,48205,37556,10531,2670,5883.85448084782
41,48214,2648214,13014076,1565598,Wayne,fb77c75f-2fd2-4737-93fd-b99f21bbd1db,156919451.350825,58873.4045731156,12,48214,20646,3893,1107,4108.85461801259
42,48146,2648146,15202542,1439,Wayne,fe5683f4-ed6e-4e35-8774-e9627e754d51,163644902.009115,55477.5895294715,388,48146,37458,9051,2536,6381.55569767353
43,48101,2648101,18182907,122205,Wayne,fee82aea-2d1c-4ba6-9f36-6c9768030786,197021949.356406,79081.6132287103,357,48101,27814,5758,1296,3961.85269011477
44,48193,2648193,18194681,658655,Wayne,962081dd-d62f-44c5-a037-a1a487289de0,202929960.568267,93924.2489242779,423,48193,15260,3534,1022,2172.24236085165
45,48223,2648223,15679754,0,Wayne,bb9a39a7-e5bf-4493-ae7b-fe7fcc463ed7,168757060.946607,65999.4604661677,20,48223,24221,6445,1631,4000.83845233552
